iter	Passed	Remaining
0	0	703
1	1	675
2	1	641
3	2	631
4	3	625
5	3	616
6	4	613
7	4	608
8	5	603
9	6	599
10	6	596
11	7	591
12	7	589
13	8	586
14	8	585
15	9	586
16	10	586
17	10	582
18	11	581
19	11	582
20	12	580
21	13	579
22	13	578
23	14	576
24	14	574
25	15	573
26	15	571
27	16	571
28	17	572
29	17	572
30	18	572
31	18	573
32	19	573
33	20	572
34	20	571
35	21	571
36	21	570
37	22	569
38	23	569
39	23	573
40	24	573
41	25	572
42	25	571
43	26	570
44	26	570
45	27	570
46	28	569
47	28	568
48	29	567
49	29	567
50	30	566
51	31	568
52	31	567
53	32	566
54	32	566
55	33	565
56	34	564
57	34	564
58	35	563
59	35	563
60	36	561
61	37	561
62	37	562
63	38	563
64	39	562
65	39	561
66	40	561
67	40	560
68	41	559
69	42	558
70	42	556
71	43	555
72	43	554
73	44	553
74	44	552
75	45	551
76	46	551
77	46	550
78	47	549
79	47	548
80	48	547
81	48	547
82	49	544
83	49	543
84	50	542
85	50	541
86	51	540
87	52	540
88	52	539
89	53	539
90	53	538
91	54	537
92	55	536
93	55	536
94	56	535
95	56	534
96	57	533
97	57	532
98	58	531
99	58	530
100	59	530
101	60	529
102	60	529
103	61	528
104	61	527
105	62	526
106	63	526
107	63	525
108	64	524
109	64	523
110	65	522
111	65	522
112	66	522
113	67	521
114	67	520
115	68	520
116	68	519
117	69	518
118	69	517
119	70	516
120	70	515
121	71	514
122	71	513
123	72	512
124	73	511
125	73	511
126	74	510
127	74	509
128	75	509
129	76	508
130	76	508
131	77	507
132	77	506
133	78	505
134	78	504
135	79	503
136	79	503
137	80	503
138	81	503
139	81	503
140	82	503
141	83	501
142	83	501
143	84	501
144	84	500
145	85	500
146	87	505
147	87	505
148	88	505
149	89	505
150	89	504
151	90	505
152	91	504
153	91	504
154	92	503
155	93	503
156	93	503
157	94	502
158	94	502
159	95	501
160	95	499
161	96	498
162	96	498
163	97	497
164	98	497
165	98	496
166	99	495
167	99	494
168	100	494
169	101	493
170	101	492
171	102	492
172	102	491
173	103	490
174	103	489
175	104	488
176	105	488
177	105	487
178	106	488
179	107	489
180	108	489
181	109	490
182	109	490
183	110	489
184	111	489
185	111	488
186	112	488
187	113	488
188	113	488
189	114	487
190	114	486
191	115	486
192	116	486
193	117	486
194	117	485
195	118	484
196	118	484
197	119	483
198	119	482
199	120	482
200	121	482
201	121	481
202	123	485
203	124	485
204	125	485
205	125	484
206	126	483
207	127	483
208	127	483
209	128	483
210	129	482
211	129	482
212	130	481
213	131	481
214	131	480
215	132	480
216	132	479
217	133	478
218	134	477
219	134	477
220	135	476
221	135	476
222	136	475
223	137	474
224	137	474
225	138	474
226	139	474
227	139	473
228	140	473
229	141	473
230	142	473
231	143	474
232	143	473
233	144	473
